ABSTIMMUNGSTAG,STAT_VORLAGE_ID,VORLAGE_KURZBEZ,VORLAGE_LANGBEZ,VORLAGENART,ABSTIMMUNGSART_BEZ,JA_ANTEIL_PROZENT,STIMMBETEILIGUNG,JA_STIMMEN,NEIN_STIMMEN,EINGELEGTE_STIMMEN,GÜLTIGE_STIMMEN,UNGÜLTIGE_STIMMEN,LEERE_STIMMEN,ANNEHMENDE_GEBIETE,ABLEHNENDE_GEBIETE,URL_VOLKSABSTIMMUNG,URL_ZEITUNG,URL_AMTSBLATT
"01.02.1970",620,"Bundesbeschluss über die inländische Zuckerwirtschaft","Bundesbeschluss über die inländische Zuckerwirtschaft","Fakultatives Referendum","eidgenössisch",42.83,56.91,68242,91098,162942,159340,0,0,122,46,,,
"01.02.1970",1557,"Gesetz über die Förderung des kulturellen Lebens","Gesetz über die Förderung des kulturellen Lebens","Obligatorisches Referendum","kantonal",65.55,56.4,99040,52041,160636,151081,61,9494,156,12,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/19700201_Volksabstimmung.pdf",,
"26.04.1970",1560,"Beschluss des Kantonsrates über einen Kredit für einen Ersatzbau für das Technikum Winterthur","Beschlusas des Kantonsrates über die Bewilligung eines Kredites für die Erstellung eines Ersatzbaues für den abgebrannten Aulatrakt und eines Laborgebäudes für das Technikum Winterthur (Ingenieurschule) (24:6 Mio.)","Obligatorisches Referendum","kantonal",74.14,47.09,93923,32762,134354,126685,31,7638,165,3,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/19700426_Volksabstimmung.pdf",,
"26.04.1970",1559,"Beschluss des Kantonsrates über einen Kredit für Neubauten der Universitätsklinik Burghölzli Zürich","Beschluss des Kantonsrates über die Bewilligung eines Kredites für Neubauten der Kantonalen Psychiatrischen Universitätsklinik Burghölzli Zürich (32:1 Mio.)","Obligatorisches Referendum","kantonal",83.1,47.09,105813,21521,134354,127334,26,6994,168,0,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/19700426_Volksabstimmung.pdf",,
"26.04.1970",1558,"Beschluss des Kantonsrates über einen Staatsbeitrag an den Bau eines Krankenheimes in Feuerthalen","Beschluss des Kantonsrates über die Leistung eines Staatsbeitrages an den Bau eines Krankenheimes in Feuerthalen (5:123 Mio.)","Obligatorisches Referendum","kantonal",89.93,47.09,114978,12879,134354,127857,18,6479,168,0,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/19700426_Volksabstimmung.pdf",,
"07.06.1970",621,"Volksinitiative «gegen die Ueberfremdung»","Volksinitiative «gegen die Ueberfremdung»","Volksinitiative","eidgenössisch",43.59,80.03,99271,128476,230039,227747,0,0,44,124,,,
"07.06.1970",1561,"Beschluss des Kantonsrates über  Beiträge an die Stiftung Konservatorium und Musikakademie","Beschluss des Kantonsrates über die Gewährung von Beiträgen an die Stiftung ""Konservatorium und Musikakademie Zürich"" (höchstens 1:1 Mio.)","Obligatorisches Referendum","kantonal",48.89,76.88,103050,107738,219537,210788,43,8706,36,132,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/19700607_Volksabstimmung.pdf",,
"05.07.1970",1562,"Beschluss des Kantonsrates über die Revision des Gesetzes über die direkten Steuern vom 8. Juli 1951","Beschluss des Kantonsrates über die Revision des Gesetzes über die direkten Steuern vom 8. Juli 1951","Obligatorisches Referendum","kantonal",87.25,41,95927,14016,117223,109943,21,7259,166,2,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/19700705_Volksabstimmung.pdf",,
"05.07.1970",1563,"Beschluss des Kantonsrates über die Revision des Erbschafts- und Schenkungssteuergesetzes","Beschluss des Kantonsrates über die Revision des Erbschafts- und Schenkungssteuergesetzes vom 26. April 1936","Obligatorisches Referendum","kantonal",84.56,41,91417,16689,117223,108106,26,9090,168,0,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/19700705_Volksabstimmung.pdf",,
"27.09.1970",1566,"Beschluss des Kantonsrates über einen Kredit für die Korrektion des Chrebsbaches","Beschluss des Kantonsrates über die Bewilligung eines Kredites für die Korrektion des Chrebsbaches in den Gemeinden Neftenbach: Hettlingen: Seuzach und Winterthur (5:731 Mio.)","Obligatorisches Referendum","kantonal",74.41,59.89,120582,41463,171780,162045,24,9711,168,0,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/19700927_Volksabstimmung.pdf",,
"27.09.1970",1564,"Gesetz über Massnahmen gegen die Auswirkungen von Fluglärm und Abgasen des Flughafens Zürich","Gesetz über Massnahmen gegen die Auswirkungen von Fluglärm und Abgasen in den Randgebieten des Flughafens Zürich (Fluglärmgesetz)","Obligatorisches Referendum","kantonal",80.5,59.89,134424,32566,171780,166990,29,4761,168,0,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/19700927_Volksabstimmung.pdf",,
"27.09.1970",1565,"Beschluss des Kantonsrates über einen Kredit für die Ausführung der 3. Bauetappe am Flughafen Kloten","Beschluss des Kantonsrates über die Bewilligung eines Kredites für die Ausführung der III. Bauetappe des Flughafens Kloten  (172 Mio.)","Obligatorisches Referendum","kantonal",61.8,59.89,103780,64136,171780,167916,21,3843,130,38,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/19700927_Volksabstimmung.pdf",,
